url,html_path,text_path,text_length,status,page_type
https://www.deakin.edu.au/international-students,data_ingestion/deakin/output/raw_html/international-students.html,data_ingestion/deakin/output/clean_text/international-students.txt,344,saved,international_info
https://www.deakin.edu.au/international-students/choosing-your-degree,data_ingestion/deakin/output/raw_html/international-students__choosing-your-degree.html,data_ingestion/deakin/output/clean_text/international-students__choosing-your-degree.txt,6293,saved,international_info
https://www.deakin.edu.au/international-students/choosing-your-degree/postgrad-degrees,data_ingestion/deakin/output/raw_html/international-students__choosing-your-degree__postgrad-degrees.html,data_ingestion/deakin/output/clean_text/international-students__choosing-your-degree__postgrad-degrees.txt,4134,saved,international_info
https://www.deakin.edu.au/international-students/choosing-your-degree/study-in-july,data_ingestion/deakin/output/raw_html/international-students__choosing-your-degree__study-in-july.html,data_ingestion/deakin/output/clean_text/international-students__choosing-your-degree__study-in-july.txt,7838,saved,international_info
https://www.deakin.edu.au/international-students/choosing-your-degree/undergrad-degrees,data_ingestion/deakin/output/raw_html/international-students__choosing-your-degree__undergrad-degrees.html,data_ingestion/deakin/output/clean_text/international-students__choosing-your-degree__undergrad-degrees.txt,2902,saved,international_info
https://www.deakin.edu.au/international-students/entry-requirements,data_ingestion/deakin/output/raw_html/international-students__entry-requirements.html,data_ingestion/deakin/output/clean_text/international-students__entry-requirements.txt,5192,saved,international_info
https://www.deakin.edu.au/international-students/entry-requirements/english,data_ingestion/deakin/output/raw_html/international-students__entry-requirements__english.html,data_ingestion/deakin/output/clean_text/international-students__entry-requirements__english.txt,3525,saved,international_info
https://www.deakin.edu.au/international-students/entry-requirements/english/dueli,data_ingestion/deakin/output/raw_html/international-students__entry-requirements__english__dueli.html,data_ingestion/deakin/output/clean_text/international-students__entry-requirements__english__dueli.txt,5490,saved,international_info
https://www.deakin.edu.au/international-students/entry-requirements/pathways,data_ingestion/deakin/output/raw_html/international-students__entry-requirements__pathways.html,data_ingestion/deakin/output/clean_text/international-students__entry-requirements__pathways.txt,3192,saved,international_info
https://www.deakin.edu.au/international-students/entry-requirements/students-under-18,data_ingestion/deakin/output/raw_html/international-students__entry-requirements__students-under-18.html,data_ingestion/deakin/output/clean_text/international-students__entry-requirements__students-under-18.txt,7810,saved,international_info
